Date;Last Price
2020-06-16 17:30:00;-49.5
2020-06-16 17:00:00;-49.475
2020-06-16 16:30:00;-49.438
2020-06-16 16:00:00;-49.5
2020-06-16 15:30:00;-49.375
2020-06-16 15:00:00;-49.475
2020-06-16 14:30:00;-49.468
2020-06-16 14:00:00;-49.518
2020-06-16 13:30:00;-49.5
2020-06-16 13:00:00;-49.375
2020-06-16 12:30:00;-48.875
2020-06-16 12:00:00;-48.845
2020-06-16 11:30:00;-48.526
2020-06-16 11:00:00;-48.475
2020-06-16 10:30:00;-48.458
2020-06-16 10:00:00;-48.75
2020-06-16 09:30:00;-48.75
2020-06-16 09:00:00;-48.85
2020-06-16 08:30:00;-48.648
2020-06-16 08:00:00;-48.825
2020-06-16 07:30:00;-48.64
2020-06-16 07:00:00;-48.75
2020-06-16 06:30:00;-48.75
2020-06-16 06:00:00;-48.75
2020-06-16 05:30:00;-48.75
2020-06-16 05:00:00;-48.75
2020-06-16 04:30:00;-48.75
2020-06-16 04:00:00;-48.813
2020-06-16 03:30:00;-49
2020-06-16 03:00:00;-48.5
2020-06-16 02:30:00;-48.5
2020-06-16 02:00:00;-48.438
2020-06-16 01:30:00;-48.438
2020-06-16 01:00:00;-48.375
2020-06-16 00:30:00;-48.25
2020-06-16 00:00:00;-48.25
2020-06-15 23:30:00;-48.25
2020-06-15 23:00:00;-48.375
2020-06-15 22:30:00;-48.25
2020-06-15 22:00:00;-48.375
2020-06-15 21:30:00;-48.25
2020-06-15 21:00:00;-48.438
2020-06-15 20:30:00;-48.438
2020-06-15 20:00:00;-48.5
2020-06-15 19:30:00;-48.476
2020-06-15 19:00:00;-48.5
2020-06-15 17:00:00;-48.5
2020-06-15 16:30:00;-48.5
2020-06-15 16:00:00;-48.5
2020-06-15 15:30:00;-48.5
2020-06-15 15:00:00;-48.75
2020-06-15 14:30:00;-48.75
2020-06-15 14:00:00;-48.75
2020-06-15 13:30:00;-48.688
2020-06-15 13:00:00;-48.75
2020-06-15 12:30:00;-48.75
2020-06-15 12:00:00;-48.75
2020-06-15 11:30:00;-48.5
2020-06-15 11:00:00;-48.25
2020-06-15 10:30:00;-48.25
2020-06-15 10:00:00;-48.25
2020-06-15 09:30:00;-48.25
2020-06-15 09:00:00;-48.313
2020-06-15 08:30:00;-48.25
2020-06-15 08:00:00;-48.25
2020-06-15 07:30:00;-48.275
2020-06-15 07:00:00;-48.25
2020-06-15 06:30:00;-48
2020-06-15 06:00:00;-48
2020-06-15 05:30:00;-48
2020-06-15 05:00:00;-48
2020-06-15 04:30:00;-48
2020-06-15 04:00:00;-48.05
2020-06-15 03:30:00;-48
2020-06-15 03:00:00;-48.25
2020-06-15 02:30:00;-48.25
2020-06-15 02:00:00;-48.563
2020-06-15 01:30:00;-48.625
2020-06-15 01:00:00;-48.375
2020-06-15 00:30:00;-48.25
2020-06-15 00:00:00;-48.375
2020-06-14 23:30:00;-48.25
2020-06-14 23:00:00;-48.022
2020-06-14 22:30:00;-48
2020-06-14 22:00:00;-48
2020-06-14 21:30:00;-48
2020-06-14 21:00:00;-48
2020-06-14 20:30:00;-48
2020-06-14 20:00:00;-48
2020-06-14 19:30:00;-48.125
2020-06-14 19:00:00;-48.25
2020-06-12 16:30:00;-48.25
2020-06-12 16:00:00;-48.25
2020-06-12 15:30:00;-48.25
2020-06-12 15:00:00;-48.25
2020-06-12 14:30:00;-48.25
2020-06-12 14:00:00;-48.025
2020-06-12 13:30:00;-48
2020-06-12 13:00:00;-47.813
2020-06-12 12:30:00;-47.75
2020-06-12 12:00:00;-47.5
2020-06-12 11:30:00;-47.5
2020-06-12 11:00:00;-47.5
2020-06-12 10:30:00;-47.5
2020-06-12 10:00:00;-47.525
2020-06-12 09:30:00;-47.5
2020-06-12 09:00:00;-47.5
2020-06-12 08:30:00;-47.5
2020-06-12 08:00:00;-47.5
2020-06-12 07:30:00;-47.5
2020-06-12 07:00:00;-47.5
2020-06-12 06:30:00;-47.75
2020-06-12 06:00:00;-47.75
